C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june001_001.jpg 1 0 0 42 28
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june001_002.jpg 1 0 0 40 28
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june001_003.jpg 1 0 0 34 24
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june001_004.jpg 1 0 0 40 28
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_001.jpg 1 0 0 48 32
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_002.jpg 1 0 0 48 32
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_003.jpg 1 0 0 50 34
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_004.jpg 1 0 0 46 30
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_005.jpg 1 0 0 46 32
C:\Users\tomb\Analyst_Media\VehicleTraining\images\pos/pos18june002_006.jpg 1 0 0 46 30
